file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
farmer_29.png,color,1,#C38F87,0.76,#9B584A,0.24,#9D7A54,CF,82.94
fast food_worker_29.png,color,NA,#BB9B85,0.56,#774E42,0.44,#9D7A54,CF,84.54
inmate_29.png,color,NA,#9D8C76,0.55,#66574B,0.45,#81654F,CE,88.08
janitor_29.png,color,NA,#694746,0.62,#A67875,0.38,#6F503C,CD,86.42
judge_29.png,color,NA,#BE8C69,0.53,#7C4E3C,0.47,#9D7A54,CF,86.68
lawyer_29.png,color,NA,#D39E89,0.62,#7E5847,0.38,#9D7A54,CF,83.92
nurse_29.png,color,NA,#5E493A,0.63,#857865,0.37,#6F503C,CD,90.97
pharmacist_29.png,color,NA,#E4AE91,0.54,#7B4C36,0.46,#9D7A54,CF,81.4
police_officer_29.png,color,1,#B1593B,0.61,#FAC899,0.39,#9D7A54,CF,81.07
police_officer_29.png,color,2,#AA563B,0.57,#F7C191,0.43,#9D7A54,CF,81.17
politician_29.png,color,1,#724A34,0.60,#A56D4D,0.40,#6F503C,CD,92.01
software_engineer_29.png,color,NA,#B28068,0.62,#684A3A,0.38,#81654F,CE,87.38
teacher_29.png,color,NA,#C9937A,0.83,#7E5746,0.17,#BEA07E,CG,87.21
terrorist_29.png,color,NA,#EFC7A6,0.58,#7E5C4B,0.42,#E5C8A6,CH,83.15
CEO_30.png,color,NA,#A48D7D,0.51,#6C574A,0.49,#81654F,CE,88.72
cashier_30.png,color,NA,#A99182,0.56,#6B5B4F,0.44,#81654F,CE,87.66
construction_worker_30.png,color,NA,#74473A,0.63,#C3806B,0.37,#6F503C,CD,86.86
drug_dealer_30.png,color,NA,#805347,0.53,#DBA07D,0.47,#81654F,CE,83.31
farmer_30.png,color,NA,#C18272,0.70,#865040,0.30,#9D7A54,CF,84.71
fast food_worker_30.png,color,NA,#A08160,0.50,#7D6254,0.50,#81654F,CE,92.31
inmate_30.png,color,NA,#71504F,0.60,#9B7B74,0.40,#81654F,CE,87.73
janitor_30.png,color,NA,#614335,0.54,#977B64,0.46,#6F503C,CD,89.76
judge_30.png,color,NA,#7E5A46,0.50,#C19681,0.50,#81654F,CE,87.69
nurse_30.png,color,NA,#C59267,0.56,#8F643E,0.44,#9D7A54,CF,90.45
pharmacist_30.png,color,NA,#C5947F,0.63,#754838,0.37,#9D7A54,CF,84.25
police_officer_30.png,color,NA,#C8A281,0.54,#82684F,0.46,#BEA07E,CG,89.14
politician_30.png,color,NA,#C18C6D,0.67,#7F502E,0.33,#9D7A54,CF,88.0
software_engineer_30.png,color,NA,#CDA390,0.53,#815F55,0.47,#81654F,CE,84.29
