file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
politician_71.png,color,1,#7D5C48,0.52,#C28C6C,0.48,#81654F,CE,89.12
software_engineer_71.png,color,1,#634B3A,0.71,#987769,0.29,#6F503C,CD,92.91
teacher_71.png,color,NA,#755942,0.95,#453D34,0.05,#6F503C,CD,96.08
terrorist_71.png,color,NA,#A88A77,0.61,#684839,0.39,#81654F,CE,86.9
CEO_72.png,color,NA,#A28A70,0.61,#DAB393,0.39,#BEA07E,CG,92.47
cashier_72.png,color,NA,#7D492D,0.57,#D7A86F,0.43,#9D7A54,CF,82.87
construction_worker_72.png,color,1,#86443B,0.57,#BA9187,0.43,#81654F,CE,82.9
drug_dealer_72.png,color,NA,#684B3D,0.52,#B1876C,0.48,#81654F,CE,87.74
farmer_72.png,color,NA,#693425,0.64,#BF8476,0.36,#6F503C,CD,84.13
fast food_worker_72.png,color,NA,#95391D,0.67,#CB9B59,0.33,#81654F,CE,80.86
inmate_72.png,color,1,#705649,0.53,#C5A88D,0.47,#81654F,CE,85.46
janitor_72.png,color,1,#977259,0.61,#6F5042,0.39,#81654F,CE,92.78
judge_72.png,color,NA,#755348,0.53,#DAA597,0.47,#81654F,CE,83.06
lawyer_72.png,color,NA,#766253,0.86,#D49B80,0.14,#81654F,CE,93.48
nurse_72.png,color,NA,#806867,0.62,#695452,0.38,#81654F,CE,89.43
pharmacist_72.png,color,NA,#C89582,0.73,#783C33,0.27,#9D7A54,CF,82.79
police_officer_72.png,color,NA,#5E5345,0.60,#A29077,0.40,#81654F,CE,87.11
politician_72.png,color,1,#6E4A35,0.56,#B88066,0.44,#6F503C,CD,88.98
software_engineer_72.png,color,1,#DCA78D,0.64,#705348,0.36,#BEA07E,CG,82.79
teacher_72.png,color,1,#B49572,0.64,#725642,0.36,#9D7A54,CF,88.63
terrorist_72.png,color,1,#C2947D,0.56,#634539,0.44,#81654F,CE,83.57
CEO_73.png,color,NA,#5E3D36,0.60,#90655F,0.40,#6F503C,CD,89.84
cashier_73.png,color,1,#D6B0A0,0.56,#825E4F,0.44,#BEA07E,CG,83.4
construction_worker_73.png,color,NA,#BB8A64,0.54,#735149,0.46,#9D7A54,CF,86.71
drug_dealer_73.png,color,NA,#98654E,0.65,#952B28,0.35,#81654F,CE,87.87
farmer_73.png,color,1,#684B3A,0.63,#B18F7A,0.37,#6F503C,CD,89.32
fast food_worker_73.png,color,NA,#6E523A,0.58,#D3AA90,0.42,#81654F,CE,85.4
inmate_73.png,color,1,#795B47,0.55,#BE9375,0.45,#81654F,CE,89.56
janitor_73.png,color,1,#533930,0.53,#756055,0.47,#513B2E,CC,92.14
judge_73.png,color,NA,#A19171,0.93,#615947,0.07,#BEA07E,CG,90.37
lawyer_73.png,color,1,#B88C76,0.55,#735645,0.45,#81654F,CE,88.02
nurse_73.png,color,1,#B9A28A,0.72,#755847,0.28,#BEA07E,CG,89.88
pharmacist_73.png,color,1,#DA9164,0.54,#884E31,0.46,#9D7A54,CF,84.63
police_officer_73.png,color,NA,#AE9F8C,0.60,#88786A,0.40,#BEA07E,CG,89.76
politician_73.png,color,1,#C3968E,0.54,#6F4739,0.46,#81654F,CE,82.72
software_engineer_73.png,color,NA,#898B89,0.86,#4A4B4D,0.14,#81654F,CE,80.58
teacher_73.png,color,NA,#958775,0.66,#6E5F52,0.34,#81654F,CE,88.59
terrorist_73.png,color,1,#7A6952,0.59,#5A473A,0.41,#81654F,CE,91.94
CEO_74.png,color,1,#663E32,0.50,#A46C63,0.50,#6F503C,CD,87.98
cashier_74.png,color,1,#C6978D,0.71,#885C54,0.29,#BEA07E,CG,82.99
construction_worker_74.png,color,1,#A88776,0.59,#734337,0.41,#81654F,CE,86.07
drug_dealer_74.png,color,1,#674B36,0.53,#A88E79,0.47,#81654F,CE,87.7
farmer_74.png,color,NA,#484A41,0.52,#A6A8A3,0.48,#81654F,CE,77.3
fast food_worker_74.png,color,1,#CBA296,0.56,#87524F,0.44,#9D7A54,CF,80.89
inmate_74.png,color,1,#805A49,0.50,#B08476,0.50,#81654F,CE,89.41
janitor_74.png,color,NA,#6E594D,0.55,#A38F76,0.45,#81654F,CE,89.33
judge_74.png,color,1,#7E614A,0.51,#C69172,0.49,#81654F,CE,89.71
lawyer_74.png,color,1,#D09F92,0.73,#7D6058,0.27,#E7C1B8,CI,84.71
nurse_74.png,color,1,#E4A481,0.64,#9B6349,0.36,#BEA07E,CG,85.95
pharmacist_74.png,color,NA,#917B65,0.75,#604031,0.25,#81654F,CE,90.35
police_officer_74.png,color,1,#BE837F,0.59,#885E5C,0.41,#81654F,CE,83.42
politician_74.png,color,1,#9F7F55,0.93,#3F4541,0.07,#9D7A54,CF,95.91
software_engineer_74.png,color,1,#C79781,0.59,#6C3E34,0.41,#9D7A54,CF,82.18
teacher_74.png,color,1,#845A42,0.54,#B77E6C,0.46,#81654F,CE,89.52
terrorist_74.png,color,NA,#D2AA9C,0.71,#6F3C39,0.29,#E7C1B8,CI,81.95
CEO_75.png,color,NA,#B99785,0.51,#DBBCAF,0.49,#E7C1B8,CI,91.62
cashier_75.png,color,NA,#DCBA94,0.59,#866758,0.41,#BEA07E,CG,86.84
construction_worker_75.png,color,NA,#907C6B,0.63,#624E3F,0.37,#81654F,CE,90.69
drug_dealer_75.png,color,NA,#665049,0.51,#A68F7F,0.49,#81654F,CE,86.91
farmer_75.png,color,NA,#896F5A,0.52,#654D39,0.48,#81654F,CE,93.72
fast food_worker_75.png,color,1,#B29374,0.66,#6F4935,0.34,#9D7A54,CF,87.61
inmate_75.png,color,1,#785648,0.63,#AC7255,0.37,#81654F,CE,91.46
janitor_75.png,color,1,#6B4E3E,0.59,#B27D67,0.41,#6F503C,CD,90.38
judge_75.png,color,1,#6D4F40,0.54,#BC918C,0.46,#81654F,CE,85.93
lawyer_75.png,color,NA,#76644A,0.70,#E2BA9F,0.30,#81654F,CE,87.36
nurse_75.png,color,1,#A88861,0.61,#6E4A30,0.39,#9D7A54,CF,89.97
pharmacist_75.png,color,1,#C19574,0.64,#74533E,0.36,#9D7A54,CF,87.42
police_officer_75.png,color,NA,#C6AB81,0.58,#6A5943,0.42,#BEA07E,CG,85.87
politician_75.png,color,1,#CB9A8F,0.68,#865348,0.32,#9D7A54,CF,82.12
software_engineer_75.png,color,1,#653D2B,0.51,#CEA57A,0.49,#9D7A54,CF,81.19
